Score,Pass,Organisation,Repo Name,Finos Lifecycle State (from the README badge),License (from GitHub Api),"Issue Activity (for most recent 50 issues, count most recent 30 comments in last 6 months)","Commit Activity (count of commits in last 6 months, maxed at 100)",OpenSSF Status (from the README badge),Github Archived (has the Archive tag in GitHub API),"Branch Rules/Private (number of approvers or 0 if no approvers, -1 no branch rules",SemGrep (checks .github/workflows/semgrep.yml file exists),CVE Scanning (checks .github/workflows/cve-scanning.yml file exists),Default Branch Name,Excess Admins,Main Issue Participants (list of all participants for issues loaded in Issue Activity column),Main Committers  (list of all participants for commits loaded in Commit Activity column),Length of Readme,Project Name,Type,Stage
0,,finos,finos-member-success,NONE,,0,1,NONE,false,PRIVATE,false,false,master,"@maoo, @robmoffat, @grizzwolf, @mindthegab, @TheJuanAndOnly99, @alstratigos",,@wendallkaters,43,,Project,Active
0,,finos,curref-data,INCUBATING,,0,0,NONE,false,-1,false,false,master,,,,8653,Currency Reference Data,Project,Incubating
0,,finos,contrib-toolbox,NONE,Apache-2.0,0,0,NONE,false,-1,false,false,main,,,,2771,,Project,Active
0,,finos,legend-config,NONE,,0,0,NONE,false,PRIVATE,false,false,master,,,,65,,Project,Active
0,,finos,glue,NONE,Apache-2.0,0,0,NONE,true,-1,false,false,master,,,,3595,,Project,Active
0,,finos,finos-marketing,NONE,,0,0,NONE,true,PRIVATE,false,false,master,"@grizzwolf, @winmorgan, @DannyJPC, @niamhoparker",,,454,,Project,Active
0,,finos,legend-persistence,INCUBATING,Apache-2.0,0,0,NONE,false,PRIVATE,false,false,master,,,,2499,,Project,Active
0,,finos,finos-parent-pom,INCUBATING,Apache-2.0,0,0,NONE,false,0,false,false,main,,,,14783,,Project,Active
0,,finos,finos-deg,INCUBATING,,0,0,NONE,true,-1,false,false,master,,,,2311,,Project,Active
0,,finos,electron-spellchecker,NONE,NOASSERTION,0,0,NONE,true,-1,false,false,master,,,,4414,,Project,Active
0,,finos,SwiftSearch,NONE,Apache-2.0,0,0,NONE,false,2,false,false,master,,,,1693,Symphony Electron,Project,Active
0,,finos,tooling,NO_README,,0,0,NO_README,false,PRIVATE,false,false,master,,,,0,,Project,Active
0,,finos,legend-integration-helm,NONE,Apache-2.0,0,0,NONE,true,-1,false,false,main,,,,3296,Legend,Project,Incubating
0,,finos,voice-metadata-standard,NONE,Apache-2.0,0,0,NONE,true,1,false,false,master,,,,2738,,Project,Active
0,,finos,wiki.finos.org,NONE,,0,0,NONE,true,-1,false,false,master,,,,69,,Project,Active
0,,finos,CatchIT,NONE,Apache-2.0,0,0,NONE,true,-1,false,false,main,,,,3402,,Project,Active
0,,finos,OpenMAMA,ACTIVE,LGPL-2.1,0,0,OK,false,0,true,false,next,,,,4679,OpenMAMA,Project,Active
0,,finos,cla-bot,NONE,Apache-2.0,3,3,NONE,true,-1,false,false,develop,,@maoo @TheJuanAndOnly99,@finos-admin,2185,,Project,Active
0,,finos,openfin-react-hooks,NONE,Apache-2.0,0,0,NONE,true,1,false,false,master,,,,8275,,Project,Active
0,,finos,bot-github-chatops,NONE,Apache-2.0,0,0,NONE,true,0,false,false,master,@maoo,,,4210,,Project,Active
0,,finos,structured-products,NONE,Apache-2.0,0,3,NONE,true,-1,false,false,main,,,@finos-admin,6296,,Project,Active
0,,finos,symphony-wdk-gallery,INCUBATING,Apache-2.0,0,0,NONE,false,0,false,false,main,,,,2133,Symphony WDK,Project,Incubating
0,,finos,metadata,NONE,,11,42,NONE,false,PRIVATE,false,false,main,,@maoo @TheJuanAndOnly99 @grizzwolf,@TheJuanAndOnly99 @maoo @finos-admin,3220,,Project,Active
0,,finos,finos.github.io,NONE,Apache-2.0,0,0,NONE,true,-1,false,false,master,@maoo,,,2969,,Project,Active
0,,finos,financial-objects,NONE,Apache-2.0,0,0,NONE,false,-1,false,false,master,,,,13743,Financial Objects,SIG,Active
0,,finos,asciidoctor-stylesheet-factory,NONE,NOASSERTION,0,0,NONE,true,-1,false,false,master,@copiesofcopies,,,4162,,Project,Active
0,,finos,ScreenSnippet,NONE,Apache-2.0,0,0,NONE,true,-1,false,false,master,,,,2295,Symphony Electron,Project,Active
0,,finos,legend-testing,NONE,Apache-2.0,0,0,NONE,false,PRIVATE,false,false,main,@epsstan,,,782,,Project,Active
0,,finos,SymphonyWindowsHwndHelper,INCUBATING,Apache-2.0,0,0,NONE,false,-1,true,false,main,,,,2235,Symphony Electron,Project,Active
0,,finos,qPython,NONE,Apache-2.0,0,0,NONE,false,1,false,true,main,,,,2461,kdb+,Project,Incubating
0,,finos,symphony-object,NONE,Apache-2.0,0,0,NONE,true,-1,false,false,master,,,,93,,Project,Active
0,,finos,plexus-interop-desktop-api,NONE,Apache-2.0,0,0,NONE,true,-1,false,false,master,,,,2634,,Project,Active
0,,finos,secure-electron-adapter,NONE,Apache-2.0,0,0,NONE,true,-1,false,false,master,,,,2878,,Project,Active
0,,finos,greenkey-intercom-sdk,NONE,Apache-2.0,0,0,NONE,true,-1,false,false,master,,,,4278,,Project,Active
0,,finos,generator-symphony,INCUBATING,Apache-2.0,0,0,NONE,false,1,false,false,master,,,,3611,Symphony Generator,Project,Incubating
0,,finos,secref-data,INCUBATING,Apache-2.0,0,0,NONE,false,-1,false,false,master,,,,5425,Security Reference Data,Project,Incubating
0,,finos,OSLC-handbook,NONE,NOASSERTION,0,0,NONE,false,-1,false,false,master,,,,2428,,Project,Active
0,,finos,morphir-editor,INCUBATING,Apache-2.0,0,0,NONE,false,PRIVATE,false,false,main,,,,2486,,Project,Active
0,,finos,finos-legend-collaboration,INCUBATING,Apache-2.0,0,0,NONE,false,PRIVATE,false,false,main,,,,2391,,Project,Active
0,,finos,open-compliance-cdmc,NONE,Apache-2.0,0,0,NONE,true,1,false,false,main,,,,2339,,Project,Active
0,,finos,plexus-interop,NONE,Apache-2.0,2,1,NONE,true,-1,false,false,master,,@mend-for-github-com,@finos-admin,11170,,Project,Active
