stargazerCount,Organisation,Repo Name,"Commit Activity (count of commits in last 6 months, maxed at 100)",Main Committers  (list of all participants for commits loaded in Commit Activity column)
10,https://github.com/finos/open-source-readiness,63,@mcleo-d @vmbrasseur @psmulovics @TheJuanAndOnly99
10,https://github.com/finos/metadata-tool,0,
10,https://github.com/finos/bot-github-chatops,1,@maoo
9,https://github.com/finos/messageml-utils,3,@symphony-mariacristina @symphony-elias
8,https://github.com/finos/finos.github.io,1,@finos-admin
7,https://github.com/finos/openfin-python-adapter,0,
7,https://github.com/finos/osr-checklists,0,
7,https://github.com/finos/qPython,11,@alvin-c-shih
7,https://github.com/finos/generator-symphony,14,@ystxn @symphony-soufiane @dependabot[bot] @yinan-symphony @symphony-mariacristina
6,https://github.com/finos/branding,9,@mindthegab @grizzwolf @niamhoparker @winmorgan
6,https://github.com/finos/SwiftSearch,2,@keerthi16 @KiranNiranjan
6,https://github.com/finos/morphir-dotnet,1,@finos-admin
5,https://github.com/finos/morphir-service,0,
5,https://github.com/finos/finos-parent-pom,9,@maoo @ivan-kyosev-gs @davidwatkins73
4,https://github.com/finos/legend-depot,57,@akphi @finos-admin @epsstan @elopezcastro @ivan-kyosev-gs @aziemchawdhary-gs @pierredebelen @gs-ssh16 @jinanisha @MauricioUyaguari
4,https://github.com/finos/legend-community-delta,67,@aamend @finos-admin @dependabot[bot]
4,https://github.com/finos/finos-marketing,9,@niamhoparker @winmorgan @agitana
4,https://github.com/finos/ScreenSnippet,0,
3,https://github.com/finos/FDC3-Archive,0,
3,https://github.com/finos/sea-quick-start,0,
3,https://github.com/finos/certificate-toolbox,0,
3,https://github.com/finos/greenkey-intercom-sdk,0,
3,https://github.com/finos/OpenMAMA-testdata,0,
2,https://github.com/finos/curref-data,4,@ElaineFraser @TheJuanAndOnly99
2,https://github.com/finos/FDC3-conformance-framework,76,@Joe-Dunleavy @ColinEberhardt @AMehtaSL @nicopreto @AidanZealley @robmoffat @osouthwell-scottlogic @dbutt-scottlogic @jhowlett-scottlogic @cbowie1
2,https://github.com/finos/morphir-bosque,2,@finos-admin
1,https://github.com/finos/electron-spellchecker,0,
1,https://github.com/finos/metadata,100,@TheJuanAndOnly99 @maoo
1,https://github.com/finos/finos-deg,0,
1,https://github.com/finos/open-reg-tech-us-lcr,1,@finos-admin
1,https://github.com/finos/DEI-SIG,11,@alstratigos @TheJuanAndOnly99
1,https://github.com/finos/symphony-wdk,29,@symphony-youri @symphony-soufiane @yinan-symphony @ystxn
1,https://github.com/finos/technical-steering-committee,16,@ColinEberhardt @mindthegab @jonfreedman @finos-admin
1,https://github.com/finos/legend-testing,59,@epsstan @nsprimmer @roasher
1,https://github.com/finos/waltz-integration-juju,41,@claudiubelu @pedroleaoc @smiclea @maoo @TheJuanAndOnly99 @jnsgruk
1,https://github.com/finos/morphir-rust,3,@finos-admin
1,https://github.com/finos/wiki.finos.org,0,
1,https://github.com/finos/legend-persistence,3,@nickyhof @finos-admin @rajamony
1,https://github.com/finos/symphony-object,0,
1,https://github.com/finos/legend-integration-juju,62,@pedroleaoc @claudiubelu @maoo @smiclea
1,https://github.com/finos/openmama.github.io,8,@fquinner
1,https://github.com/finos/plexus-interop-desktop-api,0,
1,https://github.com/finos/digital-rights-management,0,
1,https://github.com/finos/reports-job,0,
1,https://github.com/finos/clabot-config,25,@finos-admin @maoo
1,https://github.com/finos/legend-juju-bundle,49,@pedroleaoc @claudiubelu @smiclea @jnsgruk @maoo @balbirthomas
0,https://github.com/finos/legend-juju-engine-server-operator,13,@claudiubelu @smiclea @maoo @pedroleaoc
0,https://github.com/finos/structured-products,2,@finos-admin
0,https://github.com/finos/cfi-terraform-template-child-module,13,@eddie-knight @devops-adeel @ml4 @finos-admin @maoo @TheJuanAndOnly99
0,https://github.com/finos/legend-integration-morphir,0,
